	Consumer utility	Seller utility	average_num_got_shoes	average_percent_got_shoes	average_shoes_bought	average_shoes_per_person	abnormal_num_got_shoes	abnormal_percent_got_shoes	abnormal_shoes_bought	abnormal_shoes_per_person	special_num_got_shoes	special_percent_got_shoes	special_shoes_bought	special_shoes_per_person	wealthy_num_got_shoes	wealthy_percent_got_shoes	wealthy_shoes_bought	wealthy_shoes_per_person	influencer_num_got_shoes	influencer_percent_got_shoes	influencer_shoes_bought	influencer_shoes_per_person	reseller_num_got_shoes	reseller_percent_got_shoes	reseller_shoes_bought	reseller_shoes_per_person
lottery_no_gaming	0.4185932306809361	0.15826771653543306	391.0	0.043444444444444445	587.0	0.06522222222222222	46.0	0.046	68.0	0.068	20.0	0.08	40.0	0.16	45.0	0.045	62.0	0.062	23.0	0.046	23.0	0.046	110.0	0.044	220.0	0.088
first_no_gaming	0.8974129048849021	0.08370702541106129	511.0	0.05677777777777778	776.0	0.08622222222222223	57.0	0.057	80.0	0.08	14.0	0.056	28.0	0.112	62.0	0.062	91.0	0.091	25.0	0.05	25.0	0.05	0.0	0.0	0.0	0.0
invite_no_gaming	0.45898157820415253	0.6938902743142145	166.0	0.018444444444444444	255.0	0.028333333333333332	16.0	0.016	24.0	0.024	7.0	0.028	14.0	0.056	34.0	0.034	49.0	0.049	500.0	1.0	500.0	1.0	79.0	0.0316	158.0	0.0632
lottery_with_gaming	0.09418997929038835	0.4208015267175573	66.0	0.007333333333333333	97.0	0.010777777777777778	11.0	0.011	14.0	0.014	7.0	0.028	14.0	0.056	9.0	0.009	15.0	0.015	1.0	0.002	1.0	0.002	430.0	0.172	859.0	0.3436
first_with_gaming	0.42333612248043656	0.3265124555160142	182.0	0.02022222222222222	277.0	0.03077777777777778	18.0	0.018	23.0	0.023	7.0	0.028	14.0	0.056	25.0	0.025	39.0	0.039	12.0	0.024	12.0	0.024	318.0	0.1272	635.0	0.254
invite_with_gaming	0.39172062770819455	0.76	83.0	0.009222222222222222	123.0	0.013666666666666667	14.0	0.014	22.0	0.022	0.0	0.0	0.0	0.0	6.0	0.006	9.0	0.009	500.0	1.0	502.0	1.004	172.0	0.0688	344.0	0.1376
lottery_cap1_with_gaming	0.10215538840578438	0.4120603015075377	163.0	0.018111111111111113	163.0	0.018111111111111113	19.0	0.019	19.0	0.019	0.0	0.0	0.0	0.0	19.0	0.019	19.0	0.019	7.0	0.014	7.0	0.014	787.0	0.3148	787.0	0.3148
lottery_authen_with_gaming	0.20373772441376742	0.3330373001776199	177.0	0.019666666666666666	257.0	0.028555555555555556	18.0	0.018	30.0	0.03	4.0	0.016	8.0	0.032	18.0	0.018	25.0	0.025	11.0	0.022	11.0	0.022	335.0	0.134	669.0	0.2676
lottery_authen_cap1_with_gaming	0.19345628585237878	0.35080645161290325	293.0	0.03255555555555555	293.0	0.03255555555555555	28.0	0.028	28.0	0.028	0.0	0.0	0.0	0.0	24.0	0.024	24.0	0.024	25.0	0.05	25.0	0.05	622.0	0.2488	622.0	0.2488
combined_distribution_with_gaming	0.4286227748596611	0.6206395348837209	122.0	0.013555555555555555	184.0	0.020444444444444446	14.0	0.014	20.0	0.02	3.0	0.012	6.0	0.024	9.0	0.009	14.0	0.014	305.0	0.61	307.0	0.614	235.0	0.094	469.0	0.1876
