	Consumer utility	Seller utility	average_num_got_shoes	average_percent_got_shoes	average_shoes_bought	average_shoes_per_person	abnormal_num_got_shoes	abnormal_percent_got_shoes	abnormal_shoes_bought	abnormal_shoes_per_person	special_num_got_shoes	special_percent_got_shoes	special_shoes_bought	special_shoes_per_person	wealthy_num_got_shoes	wealthy_percent_got_shoes	wealthy_shoes_bought	wealthy_shoes_per_person	influencer_num_got_shoes	influencer_percent_got_shoes	influencer_shoes_bought	influencer_shoes_per_person	reseller_num_got_shoes	reseller_percent_got_shoes	reseller_shoes_bought	reseller_shoes_per_person
lottery_no_gaming	0.4104778906587205	0.1564945226917058	414.0	0.046	627.0	0.06966666666666667	43.0	0.043	62.0	0.062	9.0	0.036	18.0	0.072	52.0	0.052	78.0	0.078	27.0	0.054	27.0	0.054	94.0	0.0376	188.0	0.0752
first_no_gaming	0.9026417975093286	0.08857979502196194	519.0	0.057666666666666665	764.0	0.08488888888888889	62.0	0.062	94.0	0.094	13.0	0.052	26.0	0.104	57.0	0.057	84.0	0.084	32.0	0.064	32.0	0.064	0.0	0.0	0.0	0.0
invite_no_gaming	0.4434800660139048	0.6909765142150803	171.0	0.019	245.0	0.02722222222222222	15.0	0.015	24.0	0.024	5.0	0.02	10.0	0.04	34.0	0.034	53.0	0.053	500.0	1.0	500.0	1.0	84.0	0.0336	168.0	0.0672
lottery_with_gaming	0.08735691200946201	0.42775665399239543	74.0	0.008222222222222223	105.0	0.011666666666666667	2.0	0.002	3.0	0.003	4.0	0.016	8.0	0.032	10.0	0.01	16.0	0.016	4.0	0.008	4.0	0.008	432.0	0.1728	864.0	0.3456
first_with_gaming	0.4472542897851696	0.2984154929577465	205.0	0.02277777777777778	300.0	0.03333333333333333	20.0	0.02	30.0	0.03	10.0	0.04	20.0	0.08	17.0	0.017	24.0	0.024	6.0	0.012	6.0	0.012	310.0	0.124	620.0	0.248
invite_with_gaming	0.4031902185262262	0.7594278283485045	88.0	0.009777777777777778	141.0	0.015666666666666666	11.0	0.011	21.0	0.021	2.0	0.008	4.0	0.016	11.0	0.011	15.0	0.015	500.0	1.0	505.0	1.01	157.0	0.0628	314.0	0.1256
lottery_cap1_with_gaming	0.09668619399761938	0.4210261569416499	149.0	0.016555555555555556	149.0	0.016555555555555556	16.0	0.016	16.0	0.016	0.0	0.0	0.0	0.0	9.0	0.009	9.0	0.009	8.0	0.016	8.0	0.016	812.0	0.3248	812.0	0.3248
lottery_authen_with_gaming	0.17472933752980166	0.34990791896869244	148.0	0.016444444444444446	225.0	0.025	15.0	0.015	24.0	0.024	6.0	0.024	12.0	0.048	12.0	0.012	21.0	0.021	6.0	0.012	6.0	0.012	356.0	0.1424	712.0	0.2848
lottery_authen_cap1_with_gaming	0.16365081631577302	0.36304128902316213	261.0	0.029	261.0	0.029	28.0	0.028	28.0	0.028	0.0	0.0	0.0	0.0	30.0	0.03	30.0	0.03	17.0	0.034	17.0	0.034	657.0	0.2628	657.0	0.2628
combined_distribution_with_gaming	0.4428170709903976	0.6086330935251798	133.0	0.014777777777777779	193.0	0.021444444444444443	12.0	0.012	16.0	0.016	6.0	0.024	12.0	0.048	13.0	0.013	17.0	0.017	302.0	0.604	304.0	0.608	229.0	0.0916	458.0	0.1832
